Year,Total Chinese Population,Native_born_percent,Native_born_number,Country
1901,17312,NA,,Canada
1911,27831,2.2816284,635,Canada
1921,39587,6.999772653,2771,Canada
1931,46519,11.9993981,5582,Canada
1941,34627,19.99884483,6925,Canada
1951,32528,31.00098377,10084,Canada
1961,58197,24.99957042,14549,Canada
1971,118815,38.00025249,45150,Canada
1981,289245,24.99991357,72311,Canada
1890,107475,0.7,,United States
1900,118746,9.3,,United States
1910,94414,20.7,,United States
1920,85202,30.1,,United States
1930,102159,41.2,,United States
1940,106334,51.9,,United States
1950,150005,53,,United States
1960,237292,60.5,,United States
1970,435062,53.1,,United States
1980,806040,36.7,,United States
 ,,,,
